point_name,point_number,x,y,z
bottom_left_corner,1,0.00,0.00,0.00
top_left_corner,2,0.00,15.00,0.00
bottom_right_corner,3,28.00,0.00,0.00
top_right_corner,4,28.00,15.00,0.00
midfield_left,5,14.00,0.00,0.00
midfield_right,6,14.00,15.00,0.00
center_field,7,14.00,7.50,0.00
center_circle_top,8,14.00,9.30,0.00
center_circle_bottom,9,14.00,5.70,0.00
left_free_throw_line,10,5.80,1.95,0.00
left_free_throw_line_top,11,5.80,13.05,0.00
left_paint_bottom_left,12,0.00,3.65,0.00
left_paint_top_left,13,0.00,11.35,0.00
left_paint_bottom_right,14,5.80,3.65,0.00
left_paint_top_right,15,5.80,11.35,0.00
right_free_throw_line,16,22.20,1.95,0.00
right_free_throw_line_top,17,22.20,13.05,0.00
right_paint_bottom_left,18,22.20,3.65,0.00
right_paint_top_left,19,22.20,11.35,0.00
right_paint_bottom_right,20,28.00,3.65,0.00
right_paint_top_right,21,28.00,11.35,0.00
left_basket,22,1.575,7.50,0.00
right_basket,23,26.425,7.50,0.00
left_three_point_corner_bottom,24,0.00,0.90,0.00
left_three_point_corner_top,25,0.00,14.10,0.00
right_three_point_corner_bottom,26,28.00,0.90,0.00
right_three_point_corner_top,27,28.00,14.10,0.00
