point_name,point_number,x,y,z
bottom_left_corner,0,0.00,0.00,0.00
top_left_corner,1,0.00,20.00,0.00
bottom_right_corner,2,40.00,0.00,0.00
top_right_corner,3,40.00,20.00,0.00
midfield_left,4,20.00,0.00,0.00
midfield_right,5,20.00,20.00,0.00
center_field,6,20.00,10.00,0.00
center_circle_top,7,20.00,13.00,0.00
center_circle_bottom,8,20.00,7.00,0.00
left_penalty_mark,9,6.00,10.00,0.00
right_penalty_mark,10,34.00,10.00,0.00
left_second_penalty_mark,11,10.00,10.00,0.00
right_second_penalty_mark,12,30.00,10.00,0.00
left_goal_bottom_post,13,0.00,7.00,0.00
left_goal_top_post,14,0.00,13.00,0.00
right_goal_bottom_post,15,40.00,7.00,0.00
right_goal_top_post,16,40.00,13.00,0.00
left_penalty_area_bottom_left,17,0.00,4.00,0.00
left_penalty_area_top_left,18,0.00,16.00,0.00
left_penalty_area_bottom_right,19,6.00,4.00,0.00
left_penalty_area_top_right,20,6.00,16.00,0.00
right_penalty_area_bottom_left,21,34.00,4.00,0.00
right_penalty_area_top_left,22,34.00,16.00,0.00
right_penalty_area_bottom_right,23,40.00,4.00,0.00
right_penalty_area_top_right,24,40.00,16.00,0.00
left_substitution_zone,25,20.00,0.00,0.00
right_substitution_zone,26,20.00,20.00,0.00
