point_name,point_number,flip_idx,x,y,z,x_norm,y_norm
top_left_corner,0,24,-52.450000,33.950000,0.000000,0.000000,0.000000
left_pen_box_top_outer,1,25,-52.450000,20.160000,0.000000,0.000000,0.202945
left_goal_area_top_outer,2,26,-52.450000,9.160000,0.000000,0.000000,0.365096
left_goal_area_bottom_outer,3,27,-52.450000,-9.160000,0.000000,0.000000,0.634904
left_pen_box_bottom_outer,4,28,-52.450000,-20.160000,0.000000,0.000000,0.797055
bottom_left_corner,5,29,-52.450000,-33.950000,0.000000,0.000000,1.000000
left_goal_area_top_inner,6,22,-46.950000,9.160000,0.000000,0.052431,0.365096
left_goal_area_bottom_inner,7,23,-46.950000,-9.160000,0.000000,0.052431,0.634904
left_penalty_spot,8,21,-41.450000,0.000000,0.000000,0.104862,0.500000
left_pen_box_top_inner,9,17,-35.950000,20.160000,0.000000,0.157292,0.202945
left_pen_box_inner_top_at_goal_y,10,18,-35.950000,9.160000,0.000000,0.157292,0.365096
left_pen_box_inner_bottom_at_goal_y,11,19,-35.950000,-9.160000,0.000000,0.157292,0.634904
left_pen_box_bottom_inner,12,20,-35.950000,-20.160000,0.000000,0.157292,0.797055
midfield_top,13,13,0.000000,33.950000,0.000000,0.500000,0.000000
center_circle_top,14,14,0.000000,9.150000,0.000000,0.500000,0.365243
center_circle_bottom,15,15,0.000000,-9.150000,0.000000,0.500000,0.634757
midfield_bottom,16,16,0.000000,-33.950000,0.000000,0.500000,1.000000
right_pen_box_top_inner,17,9,35.950000,20.160000,0.000000,0.842708,0.202945
right_pen_box_inner_top_at_goal_y,18,10,35.950000,9.160000,0.000000,0.842708,0.365096
right_pen_box_inner_bottom_at_goal_y,19,11,35.950000,-9.160000,0.000000,0.842708,0.634904
right_pen_box_bottom_inner,20,12,35.950000,-20.160000,0.000000,0.842708,0.797055
right_penalty_spot,21,8,41.450000,0.000000,0.000000,0.895138,0.500000
right_goal_area_top_inner,22,6,46.950000,9.160000,0.000000,0.947569,0.365096
right_goal_area_bottom_inner,23,7,46.950000,-9.160000,0.000000,0.947569,0.634904
top_right_corner,24,0,52.450000,33.950000,0.000000,1.000000,0.000000
right_pen_box_top_outer,25,1,52.450000,20.160000,0.000000,1.000000,0.202945
right_goal_area_top_outer,26,2,52.450000,9.160000,0.000000,1.000000,0.365096
right_goal_area_bottom_outer,27,3,52.450000,-9.160000,0.000000,1.000000,0.634904
right_pen_box_bottom_outer,28,4,52.450000,-20.160000,0.000000,1.000000,0.797055
bottom_right_corner,29,5,52.450000,-33.950000,0.000000,1.000000,1.000000
center_circle_left,30,31,-9.150000,0.000000,0.000000,0.412774,0.500000
center_circle_right,31,30,9.150000,0.000000,0.000000,0.587226,0.500000
left_goal_bottom_post_base,32,40,-52.450000,-3.660000,0.000000,0.000000,0.553903
left_goal_top_post_base,33,41,-52.450000,3.660000,0.000000,0.000000,0.446097
left_goal_bottom_post_top,34,42,-52.450000,-3.660000,2.440000,0.000000,0.553903
left_goal_top_post_top,35,43,-52.450000,3.660000,2.440000,0.000000,0.446097
left_goal_net_bottom_ground,36,44,-54.450000,-3.660000,0.000000,-0.019066,0.553903
left_goal_net_top_ground,37,45,-54.450000,3.660000,0.000000,-0.019066,0.446097
left_corner_flag_top,38,46,-52.450000,33.950000,1.500000,0.000000,0.000000
left_corner_flag_bottom,39,47,-52.450000,-33.950000,1.500000,0.000000,1.000000
right_goal_bottom_post_base,40,32,52.450000,-3.660000,0.000000,1.000000,0.553903
right_goal_top_post_base,41,33,52.450000,3.660000,0.000000,1.000000,0.446097
right_goal_bottom_post_top,42,34,52.450000,-3.660000,2.440000,1.000000,0.553903
right_goal_top_post_top,43,35,52.450000,3.660000,2.440000,1.000000,0.446097
right_goal_net_bottom_ground,44,36,54.450000,-3.660000,0.000000,1.019066,0.553903
right_goal_net_top_ground,45,37,54.450000,3.660000,0.000000,1.019066,0.446097
right_corner_flag_top,46,38,52.450000,33.950000,1.500000,1.000000,0.000000
right_corner_flag_bottom,47,39,52.450000,-33.950000,1.500000,1.000000,1.000000
