point_name,point_number,x,y,z
bottom_left_corner,0,0.00,0.00,0.00
top_left_corner,1,0.00,75.00,0.00
bottom_right_corner,2,105.00,0.00,0.00
top_right_corner,3,105.00,75.00,0.00
midfield_left,4,52.50,0.00,0.00
midfield_right,5,52.50,68.00,0.00
center_field,6,52.50,34.00,0.00
center_circle_top_intersection,7,52.50,43.15,0.00
center_circle_bottom_intersection,8,52.50,24.85,0.00
left_goal_bottom_post,9,0.00,30.84,0.00
left_goal_top_post,10,0.00,37.16,0.00
right_goal_bottom_post,11,105.00,30.84,0.00
right_goal_top_post,12,105.00,37.16,0.00
left_penalty_area_top_left,13,16.50,13.85,0.00
left_penalty_area_top_right,14,16.50,54.15,0.00
left_penalty_area_bottom_left,15,0.00,13.85,0.00
left_penalty_area_bottom_right,16,0.00,54.15,0.00
left_goal_area_top_left,17,5.50,24.84,0.00
left_goal_area_top_right,18,5.50,43.16,0.00
left_goal_area_bottom_left,19,0.00,24.84,0.00
left_goal_area_bottom_right,20,0.00,43.16,0.00
left_penalty_spot,21,11.00,34.00,0.00
left_penalty_arc_top,22,16.50,34.00,0.00
left_penalty_arc_left_intersection,23,16.50,26.69,0.00
left_penalty_arc_right_intersection,24,16.50,41.31,0.00
right_penalty_area_top_left,25,88.50,13.85,0.00
right_penalty_area_top_right,26,88.50,54.15,0.00
right_penalty_area_bottom_left,27,105.00,13.85,0.00
right_penalty_area_bottom_right,28,105.00,54.15,0.00
right_goal_area_top_left,29,99.50,24.84,0.00
right_goal_area_top_right,30,99.50,43.16,0.00
right_goal_area_bottom_left,31,105.00,24.84,0.00
right_goal_area_bottom_right,32,105.00,43.16,0.00
right_penalty_spot,33,94.00,34.00,0.00
right_penalty_arc_top,34,88.50,34.00,0.00
right_penalty_arc_left_intersection,35,88.50,26.69,0.00
right_penalty_arc_right_intersection,36,88.50,41.31,0.00
